epsilon,counts,five_percent_quantile_ranks,min_ranks,median_ranks,ninetyfive_percent_quantile_ranks,max_ranks,min_score_per_turn,five_percent_quantile_score_per_turn,mean_score_per_turn,ninetyfive_percent_quantile_score_per_turn,max_score_per_turn,min_number_of_wins,five_percent_quantile_number_of_wins,median_number_of_wins,ninetyfive_percent_quantile_number_of_wins,max_number_of_wins,min_cooperation_rate,five_percent_quantile_cooperation_rate,mean_cooperation_rate,ninetyfive_percent_quantile_cooperation_rate,max_cooperation_rate
0.1,6,1.5,1,4.5,11.75,12,1.9173879949146437,1.942571716957783,2.356164109609287,2.5990595259856573,2.6075108520278834,0.0,0.0,0.0,9.5,10.0,0.22993363405730627,0.257376409973445,0.6477783536872214,0.9582855379474583,1.0
0.093260334688322,6,1.5,1,4.5,11.75,12,1.9173879949146437,1.942571716957783,2.356164109609287,2.5990595259856573,2.6075108520278834,0.0,0.0,0.0,9.5,10.0,0.22993363405730627,0.257376409973445,0.6477783536872214,0.9582855379474583,1.0
0.08697490026177834,6,1.5,1,4.5,11.75,12,1.9173879949146437,1.942571716957783,2.356164109609287,2.5990595259856573,2.6075108520278834,0.0,0.0,0.0,9.5,10.0,0.22993363405730627,0.257376409973445,0.6477783536872214,0.9582855379474583,1.0
0.08111308307896872,6,1.5,1,4.5,11.75,12,1.9173879949146437,1.942571716957783,2.356164109609287,2.5990595259856573,2.6075108520278834,0.0,0.0,0.0,9.5,10.0,0.22993363405730627,0.257376409973445,0.6477783536872214,0.9582855379474583,1.0
0.07564633275546291,6,1.5,1,4.5,11.75,12,1.9173879949146437,1.942571716957783,2.356164109609287,2.5990595259856573,2.6075108520278834,0.0,0.0,0.0,9.5,10.0,0.22993363405730627,0.257376409973445,0.6477783536872214,0.9582855379474583,1.0
0.07054802310718641,6,1.5,1,4.5,11.75,12,1.9173879949146437,1.942571716957783,2.356164109609287,2.5990595259856573,2.6075108520278834,0.0,0.0,0.0,9.5,10.0,0.22993363405730627,0.257376409973445,0.6477783536872214,0.9582855379474583,1.0
0.0657933224657568,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.06135907273413173,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.05722367659350217,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.0533669923120631,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.049770235643321115,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.046415888336127774,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.04328761281083057,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.040370172585965536,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.037649358067924674,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.03511191734215131,5,1.4000000000000001,1,5.0,11.8,12,1.9173879949146437,1.9375349725491553,2.3173921909693407,2.600749791194102,2.6075108520278834,0.0,0.0,0.0,9.6,10.0,0.22993363405730627,0.2518878547902173,0.6223142809606556,0.9666284303579666,1.0
0.03274549162877728,4,1.3,1,4.0,10.949999999999998,12,1.9173879949146437,2.0003148472211465,2.3922095179398752,2.602440056402547,2.6075108520278834,0.0,0.0,0.0,8.499999999999996,10.0,0.22993363405730627,0.3017622211338518,0.692966666770354,0.974971322768475,1.0
0.030538555088334154,4,1.3,1,4.0,10.949999999999998,12,1.9173879949146437,2.0003148472211465,2.3922095179398752,2.602440056402547,2.6075108520278834,0.0,0.0,0.0,8.499999999999996,10.0,0.22993363405730627,0.3017622211338518,0.692966666770354,0.974971322768475,1.0
0.02848035868435802,4,1.3,1,4.0,10.949999999999998,12,1.9173879949146437,2.0003148472211465,2.3922095179398752,2.602440056402547,2.6075108520278834,0.0,0.0,0.0,8.499999999999996,10.0,0.22993363405730627,0.3017622211338518,0.692966666770354,0.974971322768475,1.0
