epsilon,counts,five_percent_quantile_ranks,min_ranks,median_ranks,ninetyfive_percent_quantile_ranks,max_ranks,min_score_per_turn,five_percent_quantile_score_per_turn,mean_score_per_turn,ninetyfive_percent_quantile_score_per_turn,max_score_per_turn,min_number_of_wins,five_percent_quantile_number_of_wins,median_number_of_wins,ninetyfive_percent_quantile_number_of_wins,max_number_of_wins,min_cooperation_rate,five_percent_quantile_cooperation_rate,mean_cooperation_rate,ninetyfive_percent_quantile_cooperation_rate,max_cooperation_rate
0.1,6,1.5,1,4.5,12.5,13,1.7633846153846156,1.784673076923077,2.2893589743589744,2.601519230769231,2.611923076923077,0.0,0.0,0.0,9.875,10.5,0.2150923076923077,0.2409146153846154,0.6397241025641026,0.9617100000000001,1.0
0.093260334688322,6,1.5,1,4.5,12.5,13,1.7633846153846156,1.784673076923077,2.2893589743589744,2.601519230769231,2.611923076923077,0.0,0.0,0.0,9.875,10.5,0.2150923076923077,0.2409146153846154,0.6397241025641026,0.9617100000000001,1.0
0.08697490026177834,6,1.5,1,4.5,12.5,13,1.7633846153846156,1.784673076923077,2.2893589743589744,2.601519230769231,2.611923076923077,0.0,0.0,0.0,9.875,10.5,0.2150923076923077,0.2409146153846154,0.6397241025641026,0.9617100000000001,1.0
0.08111308307896872,6,1.5,1,4.5,12.5,13,1.7633846153846156,1.784673076923077,2.2893589743589744,2.601519230769231,2.611923076923077,0.0,0.0,0.0,9.875,10.5,0.2150923076923077,0.2409146153846154,0.6397241025641026,0.9617100000000001,1.0
0.07564633275546291,6,1.5,1,4.5,12.5,13,1.7633846153846156,1.784673076923077,2.2893589743589744,2.601519230769231,2.611923076923077,0.0,0.0,0.0,9.875,10.5,0.2150923076923077,0.2409146153846154,0.6397241025641026,0.9617100000000001,1.0
0.07054802310718641,6,1.5,1,4.5,12.5,13,1.7633846153846156,1.784673076923077,2.2893589743589744,2.601519230769231,2.611923076923077,0.0,0.0,0.0,9.875,10.5,0.2150923076923077,0.2409146153846154,0.6397241025641026,0.9617100000000001,1.0
0.0657933224657568,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.06135907273413173,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.05722367659350217,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.0533669923120631,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.049770235643321115,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.046415888336127774,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.04328761281083057,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.040370172585965536,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.037649358067924674,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.03511191734215131,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.03274549162877728,5,1.4000000000000001,1,5.0,12.600000000000001,13,1.7633846153846156,1.7804153846153847,2.2489846153846154,2.6036,2.611923076923077,0.0,0.0,0.0,10.0,10.5,0.2150923076923077,0.23575015384615383,0.6154738461538463,0.969368,1.0
0.030538555088334154,4,1.3,1,4.0,11.799999999999997,13,1.7633846153846156,1.866492307692308,2.349096153846154,2.605680769230769,2.611923076923077,0.0,0.0,0.0,8.924999999999997,10.5,0.2150923076923077,0.2873867692307692,0.6897469230769231,0.977026,1.0
0.02848035868435802,4,1.3,1,4.0,11.799999999999997,13,1.7633846153846156,1.866492307692308,2.349096153846154,2.605680769230769,2.611923076923077,0.0,0.0,0.0,8.924999999999997,10.5,0.2150923076923077,0.2873867692307692,0.6897469230769231,0.977026,1.0
